GASSID,nComps,Qlty,Problems,Notes
GASS113094,1,O,C,Clumpy
GASS40014,3,B,"C,S","Diffuse spiral arms, Embedded object"
GASS13512,2,O,"C,S",
GASS113118,1,G,"C,S",Clumpy
GASS43963,3,O,"C,S,I",Large galaxy
GASS35659,2,O,"C,S",
GASS44021,2,B,C,
GASS43929,2,B,"C,D",Edge on
GASS51190,3,B,"C,S",Embedded object
GASS13551,1,G,"C,S",
GASS13549,2,O,"C,S",
GASS113005,2,O,"C,S",
GASS7031,2,O,"C,D",Edge on
GASS113136,2,B,"C,S,D,B,I","Large galaxy, Embedded object"
GASS25475,2,B,C,
GASS38018,2,O,C,
GASS7050,1,O,"C,S",
GASS7025,2,O,"C,S,D","Group, Edge on"
GASS113091,1,O,"C,S",
GASS113133,1,G,-,Clumpy
GASS13624,3,B,"C,S",
GASS113010,2,B,"C,S",
GASS35981,2,B,"C,S,I","Large galaxy, Group, Diffuse spiral arms"
GASS113134,1,G,D,Edge on
GASS113063,2,B,"C,S,I","Large galaxy, Embedded object"
GASS113003,3,B,"C,S,B,I","Large galaxy, Embedded object"
GASS44856,1,O,C,
GASS44846,2,B,"C,S,I","Large galaxy, Embedded object, Diffuse spiral arms"
GASS40317,1,G,"C,S",
GASS113057,2,B,"C,S",Bright nearby object
GASS44892,1,G,"C,S",Group
GASS13618,2,O,"C,S",
GASS113008,3,B,"C,S",Diffuse spiral arms
GASS113105,1,O,C,
GASS44889,1,B,"C,S,D,I","Large galaxy, Edge on"
GASS113109,1,O,"C,S,B",Bright nearby object
GASS113144,?,B,"D,B","Bright nearby object, Diffuse spiral arms"
GASS113067,2,B,"C,S","Clumpy, Embedded object"
GASS13674,2,B,"C,S",Embedded object
GASS40260,2,O,"C,S",
GASS113123,1,G,S,Embedded object
GASS40257,1,O,"C,S,B","Bright nearby object, Embedded object"
GASS113122,1,O,"C,S,D","Clumpy, Embedded object"
GASS113011,1,G,"C,S",
GASS40245,2,O,"C,S,B,I","Large galaxy, Diffuse spiral arms"
GASS40247,2,O,"C,S",Embedded object
GASS38409,2,B,"C,S,I","Large galaxy, Diffuse spiral arms"
GASS114141,3,B,"C,S,D","Large galaxy, Diffuse spiral arms, Clumpy"
GASS114137,1,O,D,Clumpy
GASS114001,2,B,"C,S",Embedded object
GASS114098,2,B,"C,B",Bright nearby object
GASS9301,1,G,C,
GASS114072,3,O,"C,D",Clumpy
GASS114126,3,B,"C,I",Large galaxy
GASS9317,2,B,"C,S",Bright nearby object
GASS114061,2,B,"C,D",Offset bulge
